SampleID	Population	Superpopulation
NA18645	CHB	EAS
NA20343	ASW	AFR
NA18791	CHB	EAS
NA20348	ASW	AFR
NA18854	YRI	AFR
NA20350	ASW	AFR
NA18859	YRI	AFR
NA20355	ASW	AFR
NA18861	YRI	AFR
NA20362	ASW	AFR
NA12248	CEU	EUR
NA20413	ASW	AFR
NA12274	CEU	EUR
NA20502	TSI	EUR
NA12286	CEU	EUR
NA20507	TSI	EUR
NA12344	CEU	EUR
NA20514	TSI	EUR
NA12375	CEU	EUR
NA20519	TSI	EUR
NA12399	CEU	EUR
NA20521	TSI	EUR
NA12414	CEU	EUR
NA20792	TSI	EUR
NA12546	CEU	EUR
NA20797	TSI	EUR
NA12717	CEU	EUR
NA20800	TSI	EUR
NA12748	CEU	EUR
NA20805	TSI	EUR
NA12750	CEU	EUR
NA20812	TSI	EUR
NA12762	CEU	EUR
NA20829	TSI	EUR
NA18506	YRI	AFR
NA20831	TSI	EUR
NA18518	YRI	AFR
NA20850	GIH	SAS
NA18520	YRI	AFR
NA21125	GIH	SAS
NA18525	CHB	EAS
NA21137	GIH	SAS
NA18532	CHB	EAS
NA21144	GIH	SAS
NA18537	CHB	EAS
NA18544	CHB	EAS
NA18549	CHB	EAS
NA20285	ASW	AFR
NA18563	CHB	EAS
NA20292	ASW	AFR
NA18570	CHB	EAS
NA20297	ASW	AFR
NA18582	CHB	EAS
NA20300	ASW	AFR
NA12767	CEU	EUR
NA20312	ASW	AFR
NA12801	CEU	EUR
NA20317	ASW	AFR
NA12813	CEU	EUR
NA20336	ASW	AFR
NA12818	CEU	EUR
NA20862	GIH	SAS
NA12832	CEU	EUR
NA20867	GIH	SAS
NA12875	CEU	EUR
NA20874	GIH	SAS
NA18486	YRI	AFR
NA20879	GIH	SAS
NA18498	YRI	AFR
NA20881	GIH	SAS
NA18501	YRI	AFR
NA20886	GIH	SAS
NA10855	CEU	EUR
NA20893	GIH	SAS
NA11839	CEU	EUR
NA20898	GIH	SAS
NA11891	CEU	EUR
NA20901	GIH	SAS
NA11930	CEU	EUR
NA20906	GIH	SAS
NA11992	CEU	EUR
NA21086	GIH	SAS
NA12003	CEU	EUR
NA21093	GIH	SAS
NA12046	CEU	EUR
NA21098	GIH	SAS
NA12058	CEU	EUR
NA21101	GIH	SAS
NA12154	CEU	EUR
NA21106	GIH	SAS
NA07345	CEU	EUR
NA21113	GIH	SAS
NA07357	CEU	EUR
NA21118	GIH	SAS
NA10831	CEU	EUR
NA21120	GIH	SAS
NA10836	CEU	EUR
NA10843	CEU	EUR
NA10850	CEU	EUR
NA06986	CEU	EUR
NA06993	CEU	EUR
NA07340	CEU	EUR
HG04162	BEB	SAS
HG04186	BEB	SAS
HG04198	ITU	SAS
HG04206	ITU	SAS
HG04225	ITU	SAS
NA19023	LWK	AFR
NA19028	LWK	AFR
NA19030	LWK	AFR
NA19035	LWK	AFR
NA19042	LWK	AFR
NA19054	JPT	EAS
NA19059	JPT	EAS
NA19066	JPT	EAS
NA19078	JPT	EAS
NA19080	JPT	EAS
NA19085	JPT	EAS
NA19092	YRI	AFR
NA19472	LWK	AFR
NA19648	MXL	AMR
NA19650	MXL	AMR
NA19655	MXL	AMR
NA19662	MXL	AMR
NA19674	MXL	AMR
NA19679	MXL	AMR
NA19681	MXL	AMR
NA19686	MXL	AMR
NA19701	ASW	AFR
NA19352	LWK	AFR
NA19371	LWK	AFR
NA19376	LWK	AFR
NA19383	LWK	AFR
NA19390	LWK	AFR
NA19395	LWK	AFR
NA19403	LWK	AFR
NA19434	LWK	AFR
NA19439	LWK	AFR
NA19446	LWK	AFR
NA19453	LWK	AFR
NA18948	JPT	EAS
NA18950	JPT	EAS
NA18955	JPT	EAS
NA18962	JPT	EAS
NA18967	JPT	EAS
NA18974	JPT	EAS
NA18979	JPT	EAS
NA18981	JPT	EAS
NA18986	JPT	EAS
NA18993	JPT	EAS
NA18998	JPT	EAS
NA19004	JPT	EAS
NA19009	JPT	EAS
NA19011	JPT	EAS
NA19213	YRI	AFR
NA19225	YRI	AFR
NA19237	YRI	AFR
NA19249	YRI	AFR
NA19256	YRI	AFR
NA19307	LWK	AFR
NA19314	LWK	AFR
NA19319	LWK	AFR
NA19321	LWK	AFR
NA19338	LWK	AFR
NA19713	ASW	AFR
NA19718	MXL	AMR
NA19720	MXL	AMR
NA19725	MXL	AMR
NA19732	MXL	AMR
NA19737	MXL	AMR
NA19749	MXL	AMR
NA19751	MXL	AMR
NA19756	MXL	AMR
NA19143	YRI	AFR
NA19148	YRI	AFR
NA19150	YRI	AFR
NA19174	YRI	AFR
NA19186	YRI	AFR
NA19198	YRI	AFR
NA19201	YRI	AFR
NA19206	YRI	AFR
NA18873	YRI	AFR
NA18878	YRI	AFR
NA18912	YRI	AFR
NA18917	YRI	AFR
NA18924	YRI	AFR
NA18943	JPT	EAS
NA19097	YRI	AFR
NA19100	YRI	AFR
NA19105	YRI	AFR
NA19117	YRI	AFR
NA19129	YRI	AFR
NA19131	YRI	AFR
NA20359	ASW	AFR
NA20361	ASW	AFR
NA20412	ASW	AFR
NA20506	TSI	EUR
NA20513	TSI	EUR
NA20518	TSI	EUR
NA20520	TSI	EUR
NA20525	TSI	EUR
NA20532	TSI	EUR
NA20537	TSI	EUR
NA20544	TSI	EUR
NA20582	TSI	EUR
NA20587	TSI	EUR
NA20753	TSI	EUR
NA20758	TSI	EUR
NA20760	TSI	EUR
NA20765	TSI	EUR
NA20772	TSI	EUR
NA20796	TSI	EUR
NA20804	TSI	EUR
NA20809	TSI	EUR
NA20811	TSI	EUR
NA20816	TSI	EUR
NA19763	MXL	AMR
NA19770	MXL	AMR
NA19775	MXL	AMR
NA19782	MXL	AMR
NA19787	MXL	AMR
NA19794	MXL	AMR
NA19819	ASW	AFR
NA19908	ASW	AFR
NA19915	ASW	AFR
NA19922	ASW	AFR
NA19984	ASW	AFR
NA20126	ASW	AFR
NA20277	ASW	AFR
NA20284	ASW	AFR
NA20289	ASW	AFR
NA20291	ASW	AFR
NA20296	ASW	AFR
NA20828	TSI	EUR
NA20847	GIH	SAS
NA20854	GIH	SAS
NA20859	GIH	SAS
NA20861	GIH	SAS
NA20866	GIH	SAS
NA20316	ASW	AFR
NA20335	ASW	AFR
NA20342	ASW	AFR
NA20347	ASW	AFR
NA20892	GIH	SAS
NA20897	GIH	SAS
NA20900	GIH	SAS
NA20905	GIH	SAS
NA21092	GIH	SAS
NA21097	GIH	SAS
NA21100	GIH	SAS
NA21105	GIH	SAS
NA20873	GIH	SAS
NA20878	GIH	SAS
NA20885	GIH	SAS
NA21143	GIH	SAS
NA21112	GIH	SAS
NA21117	GIH	SAS
NA21124	GIH	SAS
NA21129	GIH	SAS
